,customer_gender,customer_height,customer_weight,customer_size,major,sub,link,product_star,product_sales
1019,1.0,161.0,56.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1020,1.0,155.0,45.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1021,1.0,165.0,54.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
1022,1.0,168.0,54.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
1023,1.0,163.0,53.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/2063237,4.8,200.0
1024,1.0,158.0,58.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1025,1.0,157.0,46.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
1026,1.0,152.0,39.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/2063237,4.8,200.0
1027,1.0,162.0,52.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
1028,1.0,159.0,47.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1029,1.0,166.0,60.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
1030,1.0,166.0,62.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1031,1.0,168.0,56.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1032,1.0,162.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1033,1.0,170.0,60.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
1034,1.0,158.0,60.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
1035,1.0,166.0,61.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1036,1.0,163.0,51.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
1037,1.0,157.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1038,1.0,168.0,65.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
1039,0.0,163.0,53.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1040,1.0,169.0,60.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1041,1.0,160.0,51.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
1042,1.0,168.0,57.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
1043,1.0,165.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1044,1.0,166.0,47.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
1045,1.0,162.0,50.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
1046,1.0,155.0,43.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
1047,1.0,155.0,49.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
1048,1.0,157.0,44.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
1049,1.0,163.0,55.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/2063237,4.8,200.0
1050,1.0,172.0,49.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
